question_id	document_title	paragraph_index
1	American_Idol	26
4	University_of_Kansas	15
7	Hunter-gatherer	10
10	Architecture	8
13	Materialism	6
16	Hunter-gatherer	10
19	Alexander_Graham_Bell	0
22	Architecture	8
25	2008_Summer_Olympics_torch_relay	73
28	2008_Summer_Olympics_torch_relay	73
31	Near_East	18
34	New_York_City	134
37	BBC_Television	30
40	Near_East	18
43	The_Times	35
46	Classical_music	56
49	Daylight_saving_time	13
52	Immunology	8
55	Black_people	11
58	University_of_Kansas	15
61	Sony_Music_Entertainment	22
64	BBC_Television	30
67	2008_Summer_Olympics_torch_relay	73
70	2008_Summer_Olympics_torch_relay	73
73	Materialism	6
76	BBC_Television	30
79	Estonian_language	24
82	Wood	46
85	Near_East	18
88	Architecture	8
91	Alexander_Graham_Bell	0
94	Bern	10
97	Materialism	6
100	Alexander_Graham_Bell	0
103	University_of_Kansas	15
106	Architecture	8
109	Daylight_saving_time	13
112	Materialism	6
115	Aspirated_consonant	5
118	Architecture	8
121	BBC_Television	30
124	Szlachta	3
127	Estonian_language	24
130	2008_Sichuan_earthquake	35
133	Royal_Institute_of_British_Architects	14
136	Wood	46
139	2008_Summer_Olympics_torch_relay	73
142	Hunter-gatherer	2
145	Alexander_Graham_Bell	0
148	Near_East	18
151	University_of_Kansas	15
154	Classical_music	56
157	Architecture	8
160	MP3	11
163	2008_Summer_Olympics_torch_relay	73
166	Materialism	6
169	Alexander_Graham_Bell	0
172	2008_Summer_Olympics_torch_relay	73
175	Materialism	6
178	The_Times	35
181	Aspirated_consonant	5
184	University_of_Kansas	15
187	University_of_Kansas	15
190	Royal_Institute_of_British_Architects	14
193	2008_Sichuan_earthquake	35
196	Buddhism	31
199	Estonian_language	24
202	The_Times	35
205	Bern	49
208	Daylight_saving_time	13
211	MP3	11
214	Plymouth	75
217	Architecture	8
220	The_Times	35
223	Institute_of_technology	34
226	MP3	11
229	Dog	69
232	Black_people	11
235	The_Times	35
238	2008_Summer_Olympics_torch_relay	73
241	Near_East	18
244	Alexander_Graham_Bell	0
247	Alexander_Graham_Bell	0
250	2008_Summer_Olympics_torch_relay	73
253	Alexander_Graham_Bell	0
256	Ministry_of_Defence_(United_Kingdom)	9
259	Near_East	18
262	Near_East	18
265	The_Times	35
268	Daylight_saving_time	13
271	Buddhism	31
274	BBC_Television	30
277	Hunter-gatherer	2
280	Materialism	6
283	Materialism	6
286	BBC_Television	30
289	The_Times	35
292	Estonian_language	24
295	Materialism	6
298	Dog	69
