question_id	question_rank	document_title	paragraph_index	distance
1		Buddhism	31	
1		MP3	11	
1		University_of_Kansas	15	
1		Black_people	11	
1		American_Idol	26	
4		Materialism	6	
4		Estonian_language	24	
4		Near_East	18	
4		Daylight_saving_time	13	
4		University_of_Kansas	15	
7		University_of_Kansas	15	
7		Near_East	18	
7		Daylight_saving_time	13	
7		Marshall_Islands	42	
7		Hunter-gatherer	10	
10		BBC_Television	30	
10		Near_East	18	
10		Wood	46	
10		The_Times	35	
10		Architecture	8	
13		Estonian_language	24	
13		Wood	46	
13		Daylight_saving_time	13	
13		Aspirated_consonant	17	
13		Materialism	6	
16		Materialism	6	
16		University_of_Kansas	15	
16		Szlachta	3	
16		Aspirated_consonant	31	
16		Hunter-gatherer	10	
19		BBC_Television	30	
19		University_of_Kansas	15	
19		Wood	46	
19		MP3	11	
19		Alexander_Graham_Bell	0	
22		Brain	13	
22		BBC_Television	30	
22		Estonian_language	24	
22		Wood	46	
22		Architecture	8	
25		BBC_Television	30	
25		University_of_Kansas	15	
25		Estonian_language	24	
25		MP3	11	
25		2008_Summer_Olympics_torch_relay	73	
28		University_of_Kansas	15	
28		Materialism	6	
28		MP3	11	
28		Wayback_Machine	9	
28		2008_Summer_Olympics_torch_relay	73	
31		MP3	11	
31		University_of_Kansas	15	
31		2008_Summer_Olympics_torch_relay	73	
31		Black_people	11	
31		Near_East	18	
34		Materialism	6	
34		National_Archives_and_Records_Administration	27	
34		Estonian_language	24	
34		Bird_migration	38	
34		New_York_City	134	
37		MP3	11	
37		University_of_Kansas	15	
37		Black_people	11	
37		Alexander_Graham_Bell	0	
37		BBC_Television	30	
40		Wood	46	
40		University_of_Kansas	15	
40		Materialism	6	
40		BBC_Television	30	
40		Near_East	18	
43		University_of_Kansas	15	
43		Near_East	18	
43		Materialism	6	
43		Architecture	8	
43		The_Times	35	
46		MP3	11	
46		University_of_Kansas	15	
46		Buddhism	31	
46		Black_people	11	
46		Classical_music	56	
49		Near_East	18	
49		University_of_Kansas	15	
49		Materialism	6	
49		2008_Sichuan_earthquake	35	
49		Daylight_saving_time	13	
52		Hunter-gatherer	2	
52		Materialism	6	
52		BeiDou_Navigation_Satellite_System	17	
52		Aspirated_consonant	5	
52		Immunology	8	
55		MP3	11	
55		University_of_Kansas	15	
55		Classical_music	56	
55		2008_Summer_Olympics_torch_relay	73	
55		Black_people	11	
58		BBC_Television	30	
58		Materialism	6	
58		Wood	46	
58		Estonian_language	24	
58		University_of_Kansas	15	
61		University_of_Kansas	15	
61		BBC_Television	30	
61		2008_Summer_Olympics_torch_relay	73	
61		Materialism	6	
61		Sony_Music_Entertainment	22	
64		Alexander_Graham_Bell	0	
64		University_of_Kansas	15	
64		MP3	11	
64		Russian_Soviet_Federative_Socialist_Republic	20	
64		BBC_Television	30	
67		University_of_Kansas	15	
67		Aspirated_consonant	5	
67		MP3	11	
67		Materialism	6	
67		2008_Summer_Olympics_torch_relay	73	
70		Daylight_saving_time	13	
70		Estonian_language	24	
70		University_of_Kansas	15	
70		MP3	11	
70		2008_Summer_Olympics_torch_relay	73	
73		University_of_Kansas	15	
73		MP3	11	
73		BBC_Television	30	
73		2008_Summer_Olympics_torch_relay	73	
73		Materialism	6	
76		Materialism	6	
76		Aspirated_consonant	31	
76		Estonian_language	24	
76		Buddhism	31	
76		BBC_Television	30	
79		List_of_numbered_streets_in_Manhattan	29	
79		Buddhism	31	
79		University_of_Kansas	15	
79		MP3	11	
79		Estonian_language	24	
82		Canadian_Armed_Forces	41	
82		Near_East	18	
82		Architecture	8	
82		Hunter-gatherer	2	
82		Wood	46	
85		Architecture	8	
85		BBC_Television	30	
85		Dog	69	
85		Hunter-gatherer	2	
85		Near_East	18	
88		Near_East	18	
88		Materialism	6	
88		Somalis	46	
88		University_of_Kansas	15	
88		Architecture	8	
91		Near_East	18	
91		University_of_Kansas	15	
91		Daylight_saving_time	13	
91		Wood	46	
91		Alexander_Graham_Bell	0	
94		Estonian_language	24	
94		University_of_Kansas	15	
94		Materialism	6	
94		Near_East	18	
94		Bern	10	
97		Wood	46	
97		University_of_Kansas	15	
97		2008_Summer_Olympics_torch_relay	73	
97		Estonian_language	24	
97		Materialism	6	
100		University_of_Kansas	15	
100		MP3	11	
100		2008_Summer_Olympics_torch_relay	73	
100		Materialism	6	
100		Alexander_Graham_Bell	0	
103		Classical_music	56	
103		Buddhism	31	
103		Aspirated_consonant	31	
103		National_Archives_and_Records_Administration	27	
103		University_of_Kansas	15	
106		Materialism	6	
106		Phonology	13	
106		Immunology	8	
106		Wood	46	
106		Architecture	8	
109		Wood	46	
109		University_of_Kansas	15	
109		Near_East	18	
109		2008_Summer_Olympics_torch_relay	73	
109		Daylight_saving_time	13	
112		Wood	46	
112		Estonian_language	24	
112		Space_Race	60	
112		Immunology	8	
112		Materialism	6	
115		University_of_Kansas	15	
115		Classical_music	56	
115		National_Archives_and_Records_Administration	27	
115		Hunter-gatherer	10	
115		Aspirated_consonant	5	
118		Brain	13	
118		BBC_Television	30	
118		Estonian_language	24	
118		Aspirated_consonant	17	
118		Architecture	8	
121		University_of_Kansas	15	
121		Wood	46	
121		Brain	13	
121		Daylight_saving_time	13	
121		BBC_Television	30	
124		Estonian_language	24	
124		Aspirated_consonant	17	
124		University_of_Kansas	15	
124		Wood	46	
124		Szlachta	3	
127		BBC_Television	30	
127		The_Times	35	
127		2008_Sichuan_earthquake	35	
127		University_of_Kansas	15	
127		Estonian_language	24	
130		Materialism	6	
130		BBC_Television	30	
130		University_of_Kansas	15	
130		Wood	46	
130		2008_Sichuan_earthquake	35	
133		University_of_Kansas	15	
133		MP3	11	
133		Alexander_Graham_Bell	0	
133		Hunter-gatherer	10	
133		Royal_Institute_of_British_Architects	14	
136		Architecture	8	
136		Near_East	18	
136		Hunter-gatherer	2	
136		Materialism	6	
136		Wood	46	
139		University_of_Kansas	15	
139		MP3	11	
139		Materialism	6	
139		Alexander_Graham_Bell	0	
139		2008_Summer_Olympics_torch_relay	73	
142		Dog	69	
142		Daylight_saving_time	13	
142		Saint_Helena	78	
142		Institute_of_technology	34	
142		Hunter-gatherer	2	
145		2008_Sichuan_earthquake	35	
145		Near_East	18	
145		BBC_Television	30	
145		Wood	46	
145		Alexander_Graham_Bell	0	
148		MP3	11	
148		University_of_Kansas	15	
148		Black_people	11	
148		2008_Summer_Olympics_torch_relay	73	
148		Near_East	18	
151		MP3	11	
151		Alexander_Graham_Bell	0	
151		Near_East	18	
